Rank,Release Group,Worldwide,Domestic,%,Foreign,%
114,Even if This Love Disappears from the World Tonight,"$7,810,235",-,-,"$7,810,235",100%
115,Chempion mira,"$7,718,753",-,-,"$7,718,753",100%
116,Warriors of Future,"$7,692,108",-,-,"$7,692,108",100%
117,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
118,Finnick,"$7,523,353",-,-,"$7,523,353",100%
119,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
120,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
121,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
122,Laid-Back Camp Movie,"$7,216,907",-,-,"$7,216,907",100%
123,Mobile Suit Gundam: Cucuruz Doan's Island,"$6,998,742",-,-,"$6,998,742",100%
124,Menteur 2022 Re-release,"$6,894,886",-,-,"$6,894,886",100%
125,Rabbit Academy,"$6,735,184",-,-,"$6,735,184",100%
126,Pearl,"$6,634,520","$6,634,520",100%,-,-
127,Adieu Monsieur Haffmann,"$6,424,369",-,-,"$6,424,369",100%
128,Cyrano,"$6,394,347","$3,873,124",60.6%,"$2,521,223",39.4%
129,"Good Luck to You, Leo Grande","$6,374,200",-,-,"$6,374,200",100%
130,Marcel the Shell with Shoes On,"$6,307,913","$6,306,743",100%,"$1,170",<0.1%
131,Notre-Dame on Fire,"$6,055,919",-,-,"$6,055,919",100%
132,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
133,National Theatre Live: Prima Facie,"$6,042,070",-,-,"$6,042,070",100%
134,The Exorcism of God,"$6,040,794",-,-,"$6,040,794",100%
135,Vikrant Rona,"$6,020,595",-,-,"$6,020,595",100%
136,Moonage Daydream,"$6,017,625","$2,582,625",42.9%,"$3,435,000",57.1%
137,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
138,Goliath,"$5,793,760",-,-,"$5,793,760",100%
139,Radiation House,"$5,793,450",-,-,"$5,793,450",100%
140,Bheeshma Parvam,"$5,779,651",-,-,"$5,779,651",100%
141,The One 2022 Re-release,"$5,747,053",-,-,"$5,747,053",100%
142,Irréductible,"$5,685,333",-,-,"$5,685,333",100%
143,Jaws 2022 Re-release,"$5,595,367","$5,100,765",91.2%,"$494,602",8.8%
144,Artek: Bolshoe puteshestvie,"$5,491,141",-,-,"$5,491,141",100%
