Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Spider-Man: No Way Home,"$1,906,693,477","$804,793,477",42.2%,"$1,101,900,000",57.8%
2,The Battle at Lake Changjin,"$902,548,476","$342,411",<0.1%,"$902,206,065",100%
3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%
5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%
6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
7,Venom: Let There Be Carnage,"$506,863,592","$213,550,366",42.1%,"$293,313,226",57.9%
8,Godzilla vs. Kong,"$470,067,014","$100,916,094",21.5%,"$369,150,920",78.5%
9,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.9%,"$207,700,000",48.1%
10,Sing 2,"$408,903,217","$162,790,990",39.8%,"$246,112,227",60.2%
11,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%
12,Dune,"$401,847,900","$108,327,830",27%,"$293,520,070",73%
13,Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%
14,Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%
15,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
16,Encanto,"$256,786,742","$96,093,622",37.4%,"$160,693,120",62.6%
17,Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%
18,"My Country, My Parents","$221,831,086","$177,133",<0.1%,"$221,653,953",99.9%
19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%
20,The Conjuring: The Devil Made Me Do It,"$206,401,480","$65,631,050",31.8%,"$140,770,430",68.2%
21,Raging Fire,"$205,842,393","$385,305",0.2%,"$205,457,088",99.8%
